ESTAGIOID,CARGA_HORARIA,SITUACAO,TIPOESTAGIO,ESTAGIARIO_ID,CLASSIFICACAO,DATA_INICIO,DATA_FIM,ORIENTADOR_FK,CURSOID,MODALIDADE,NIVEL,CURSO,EMPRESAID,EMPRESA,TIPOEMPRESA
2399,200,3,,1228,1,2017-06-05,2017-11-29,1229,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
2530,200,3,0,1364,0,2019-07-17,2019-09-11,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
3092,652,3,1,543,0,2019-08-12,2020-04-30,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
5869,240,3,0,543,0,2021-07-12,2021-10-13,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2477,"DFranquias Desenvolvimento de Programa de Computação Eireli",2
3206,200,3,0,1856,0,2019-07-01,2019-08-15,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",522,"DF Soluções em Informática",2
3210,200,3,0,1861,0,2019-07-01,2019-08-15,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",522,"DF Soluções em Informática",2
3340,240,3,,1934,1,2017-05-01,2017-12-31,1839,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3341,30,3,0,1936,1,2013-02-01,2013-12-15,716,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3342,180,3,0,1936,1,2014-02-01,2014-12-15,716,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3343,200,3,0,1937,0,2017-04-11,2017-10-17,716,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
3344,200,3,0,1938,0,2017-05-02,2017-08-20,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
3345,200,3,0,1939,0,2017-08-21,2017-11-21,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",570,"Escritório de Advocacia Emerson Barbosa Macedo",2
3346,200,3,0,1941,1,2015-05-13,2015-12-04,1843,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3348,200,3,0,1942,1,2017-06-02,2017-06-02,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3349,100,3,0,1943,1,2016-05-04,2016-12-31,716,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3350,100,3,0,1943,1,2015-05-04,2015-12-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3848,200,3,0,517,0,2018-03-28,2018-06-27,885,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2054,"Cantinho da Cegonha LTDA ME",2
3849,960,3,0,2300,1,2013-03-15,2014-02-28,1191,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3850,240,3,0,2301,1,2015-10-01,2015-12-31,2302,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3851,200,3,0,2303,1,2015-05-01,2016-02-29,521,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3852,200,3,0,2304,0,2018-09-21,2018-07-10,2307,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2330,"Comnt Telecom LTDA ME",2
3853,200,3,0,2308,1,2018-06-20,2018-06-20,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2054,"Cantinho da Cegonha LTDA ME",2
3854,225,3,0,2309,1,2018-04-02,2018-06-29,1843,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3855,200,3,0,2310,1,2017-05-01,2017-12-31,1839,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3856,200,3,0,2311,1,2017-12-20,2017-12-21,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3857,200,3,0,2312,0,2018-01-22,2018-05-11,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1597,"Prefeitura Municipal de Cônego Marinho ",1
3858,368,3,0,2314,0,2018-06-01,2018-08-31,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2331,"Superkilo Supermercado - EFE ELE Comércio LTDA",2
3859,200,3,0,2316,1,2017-10-02,2018-02-27,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3860,200,3,0,2317,1,2016-08-01,2017-08-01,2302,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
3862,200,3,0,2319,0,2017-12-18,2018-02-27,1843,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2332,"Contass Contabilidade Consultoria LTDA",2
4476,200,3,0,2673,0,2019-11-18,2020-02-14,535,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",63,"Associação de Pais e Amigos dos Excepcionais de Januária - APAE",1
5824,200,3,0,2791,0,2021-03-17,2021-05-12,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2483,"Casa Agrícola Simões LTDA ",2
4711,200,3,0,2809,0,2020-02-24,2020-04-24,1211,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2186,"Mult Service Celular Eireli",2
5738,200,3,0,2870,0,2020-11-17,2021-01-15,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1041,"Prefeitura Municipal de Januária ",1
4836,60,3,0,2874,0,2020-03-23,2020-06-15,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
5808,140,3,0,2874,0,2021-02-17,2021-03-26,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2480,"Allieksiei Castelar Perim Souza Rodrigues - Prospectar Agrícola ",2
4857,200,3,0,2895,0,2020-03-18,2020-05-16,535,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2054,"Cantinho da Cegonha LTDA ME",2
5157,960,3,0,3075,0,2013-08-01,2014-12-30,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2435,"Abbiati e Moreira Informática LTDA - ME",2
5158,210,3,0,3077,0,2015-05-25,2015-08-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2253,"Sindicato dos Produtores Rurais de Januária",2
5159,720,3,0,3080,0,2013-09-09,2014-09-10,3081,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
5160,204,3,0,3082,0,2015-03-09,2015-04-27,885,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2347,"Apoema Consultoria e Soluções Tecnológicas LTDA",2
5161,1380,3,0,3083,0,2013-07-15,2014-12-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
5162,520,3,1,3083,0,2013-01-14,2013-07-14,3081,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2268,"Departamento de Edificações e Estradas de Rodagem do Estado de Minas Gerais - DEER",1
5297,540,3,0,3175,0,2014-01-01,2014-06-30,3081,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2440,"Salmach Distribuidora de Bebidas LTDA ",2
5298,918,3,0,3177,0,2013-05-28,2013-12-31,3081,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2440,"Salmach Distribuidora de Bebidas LTDA ",2
5299,560,3,0,3178,1,2012-05-01,2012-12-31,900,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
5300,200,3,0,3179,1,2014-04-01,2014-11-30,1191,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
5740,200,3,0,1367,0,2020-11-17,2021-01-08,1191,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2401,"Olívio Pires de França ME",2
6058,480,3,1,1367,0,2022-01-03,2022-07-03,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2537,"Rudimar Baesso Althof Digital - RBA Conectividade",2
5741,256,3,0,3392,0,2020-11-17,2021-02-16,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",1041,"Prefeitura Municipal de Januária ",1
5742,200,3,0,1365,0,2020-11-20,2021-01-15,1191,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2401,"Olívio Pires de França ME",2
5781,220,3,0,3419,0,2021-01-19,2021-03-23,521,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2186,"Mult Service Celular Eireli",2
5785,200,3,0,3422,1,2021-01-25,2021-01-25,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
5790,200,3,0,3423,1,2019-10-01,2020-02-29,535,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",NULL,NULL,NULL
5821,250,3,0,3453,0,2021-03-18,2021-05-16,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2481,"Associação de Pais e Amigos dos Excepcionais de Lontra - APAE",1
5830,240,3,0,3461,0,2021-04-19,2021-07-30,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2477,"DFranquias Desenvolvimento de Programa de Computação Eireli",2
5846,240,3,0,3478,0,2021-05-17,2021-07-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2489,"Avanço Publicidade ",2
5961,258,3,0,1156,0,2021-10-01,2021-11-30,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",2512,"Agricultura Januária Júnior - Projetos e Serviços Agropecuários",2
6099,200,3,0,2176,0,2022-03-03,2022-05-31,6,1,5,2,"Tecnologia em Análise e Desenvolvimento de Sistemas ",319,"Instituto Federal do Norte de Minas Gerais - IFNMG - Campus Januária",1
65,44,3,0,8,NULL,2015-05-13,2015-06-15,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
66,44,3,0,8,NULL,2015-07-16,2015-08-03,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
67,44,3,0,8,NULL,2015-07-08,2015-08-03,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
68,108,3,0,8,0,2015-08-11,2015-12-27,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
69,24,3,0,8,0,2016-08-12,2016-12-06,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
72,12,3,0,8,0,2016-11-08,2016-12-06,20,51,2,1,"Técnico em Enfermagem",63,"Associação de Pais e Amigos dos Excepcionais de Januária - APAE",1
81,324,3,0,8,NULL,2016-09-29,2016-11-09,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
102,44,3,0,26,NULL,2014-12-11,2015-01-20,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
103,44,3,0,26,NULL,2015-10-19,2015-11-27,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
104,108,3,0,26,0,2015-02-09,2016-02-04,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
105,24,3,0,26,0,2016-03-31,2016-04-08,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
112,12,3,0,26,NULL,2016-06-13,2016-06-27,17,51,2,1,"Técnico em Enfermagem",110,"Centro de Atenção Psicossocial - CAPS",1
113,44,3,0,26,NULL,2014-11-06,2014-11-28,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
4615,332,3,0,26,0,2016-06-28,2016-09-19,59,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
120,44,3,0,60,NULL,2014-12-10,2015-01-30,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
121,44,3,0,60,NULL,2015-02-04,2015-03-05,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
124,88,3,0,60,NULL,2015-03-16,2015-04-15,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
126,44,3,0,60,NULL,2014-11-21,2014-12-09,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4624,384,3,0,60,0,2015-06-17,2016-05-03,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
129,44,3,0,68,0,2015-07-13,2015-08-11,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
130,44,3,0,68,NULL,2015-11-04,2015-11-20,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
131,44,3,0,68,NULL,2015-08-12,2015-11-03,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
132,108,3,0,68,0,2015-12-09,2016-02-03,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
133,24,3,0,68,0,2016-05-03,2016-12-06,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
134,12,3,0,68,0,2016-05-03,2016-12-06,20,51,2,1,"Técnico em Enfermagem",63,"Associação de Pais e Amigos dos Excepcionais de Januária - APAE",1
135,324,3,0,68,NULL,2016-07-15,2016-11-23,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
138,44,3,0,69,NULL,2014-11-06,2014-11-28,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
139,44,3,0,69,NULL,2014-12-01,2014-12-19,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
140,44,3,0,69,NULL,2015-02-09,2015-03-04,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
141,88,3,0,69,0,2015-03-10,2015-04-15,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
142,380,3,0,69,NULL,2015-08-05,2015-08-07,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
153,44,3,0,71,NULL,2014-09-09,2014-09-24,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
154,44,3,0,71,0,2014-10-06,2014-11-01,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
155,44,3,0,71,NULL,2014-11-03,2014-11-20,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
156,88,3,0,71,0,2014-12-03,2015-02-10,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
4619,380,3,0,71,0,2015-11-12,2015-12-03,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
160,44,3,0,72,NULL,2014-12-10,2015-01-30,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
162,44,3,0,72,NULL,2014-11-21,2014-12-05,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
163,44,3,0,72,0,2015-02-04,2015-03-05,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
174,88,3,0,72,0,2015-03-10,2015-04-15,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
4642,384,3,0,72,0,2015-06-17,2015-12-07,59,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
178,44,3,0,78,NULL,2015-05-13,2015-06-15,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
179,44,3,0,78,NULL,2015-06-16,2015-07-03,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
180,44,3,0,78,NULL,2015-07-08,2015-08-03,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
181,108,3,0,78,0,2015-08-11,2015-11-27,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
182,24,3,0,78,0,2016-04-12,2016-04-28,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
183,12,3,0,78,NULL,2016-07-11,2016-07-20,67,51,2,1,"Técnico em Enfermagem",110,"Centro de Atenção Psicossocial - CAPS",1
184,324,3,0,78,NULL,2016-11-08,2016-12-14,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
187,44,3,0,79,NULL,2015-03-05,2015-03-20,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
188,44,3,0,79,NULL,2015-03-24,2015-04-14,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
189,44,3,0,79,NULL,2015-04-15,2015-04-30,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
190,88,3,0,79,NULL,2015-05-05,2015-06-18,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
4617,380,3,0,79,0,2015-11-18,2016-07-08,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
194,44,3,0,80,NULL,2015-03-05,2015-03-20,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
195,44,3,0,80,NULL,2015-03-24,2015-04-14,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
196,44,3,0,80,NULL,2015-04-15,2015-04-30,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
197,88,3,0,80,NULL,2015-05-05,2015-06-18,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
198,60,3,0,80,NULL,2016-03-17,2016-05-24,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4643,384,3,0,80,0,2015-12-10,2016-01-07,18,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
201,44,3,0,81,NULL,2012-07-04,2012-07-25,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
202,44,3,0,81,NULL,2012-09-12,2012-10-01,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
203,44,3,0,81,NULL,2012-08-16,2012-09-06,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
204,88,3,0,81,NULL,2015-05-05,2015-06-22,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
4622,380,3,0,81,0,2015-06-30,2020-07-03,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
208,44,3,0,82,NULL,2014-12-16,2014-12-26,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
209,44,3,0,82,NULL,2015-03-09,2015-03-25,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
210,44,3,0,82,NULL,2015-04-23,2015-05-07,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
211,88,3,0,82,0,2015-05-12,2015-06-26,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
4637,380,3,0,82,0,2016-04-14,2016-05-05,67,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
215,44,3,0,84,NULL,2014-09-09,2014-09-24,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
217,88,3,0,84,NULL,2014-12-03,2015-03-11,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
218,44,3,0,84,NULL,2014-10-06,2014-11-01,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
219,44,3,0,84,NULL,2014-11-03,2014-11-20,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
4626,380,3,0,84,0,2015-04-23,2016-01-25,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
222,44,3,0,86,NULL,2011-04-04,2011-04-19,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
223,44,3,0,86,NULL,2011-03-16,2011-03-31,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
224,44,3,0,86,NULL,2011-02-21,2011-03-15,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
225,88,3,0,86,NULL,2013-09-10,2013-12-10,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
4627,380,3,0,86,0,2015-05-27,2015-11-25,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
229,88,3,0,87,NULL,2013-09-10,2013-11-21,85,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
230,44,3,0,87,NULL,2008-07-21,2008-08-01,22,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
231,44,3,0,87,NULL,2008-08-04,2008-08-15,22,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
232,44,3,0,87,NULL,2008-07-07,2008-07-18,22,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
4632,380,3,0,87,0,2012-03-05,2015-03-13,27,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
236,12,3,0,88,0,2016-11-08,2016-12-04,20,51,2,1,"Técnico em Enfermagem",63,"Associação de Pais e Amigos dos Excepcionais de Januária - APAE",1
237,44,3,0,88,0,2015-05-13,2015-06-15,15,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
238,44,3,0,88,0,2015-06-16,2015-07-03,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
239,44,3,0,88,0,2015-07-08,2015-08-03,15,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
240,24,3,0,88,0,2016-04-12,2016-12-06,19,51,2,1,"Técnico em Enfermagem",61,"Centro Estadual de Atenção Especializada - CEAE ",1
241,108,3,0,88,0,2015-08-11,2015-11-27,18,51,2,1,"Técnico em Enfermagem",59,"Unidade Básica de Saúde Padre Afonso Müer - São Vicente",1
242,324,3,0,88,0,2016-05-10,2016-12-14,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
245,88,3,0,89,NULL,2014-12-03,2015-03-20,62,51,2,1,"Técnico em Enfermagem",122,"Estratégia da Saúde da Família Levianópolis",1
246,44,3,0,89,NULL,2014-11-03,2014-11-21,61,51,2,1,"Técnico em Enfermagem",57,"Abrigo Lar de Jesus",1
247,44,3,0,89,NULL,2014-10-06,2014-11-01,61,51,2,1,"Técnico em Enfermagem",53,"Associação Comunitária "O Pequeno Davi"",NULL
248,44,3,0,89,NULL,2014-09-09,2014-09-24,61,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
249,16,3,0,89,NULL,2016-01-25,2016-01-26,24,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
4623,384,3,0,89,0,2015-10-30,2016-04-11,17,51,2,1,"Técnico em Enfermagem",70,"Hospital Municipal de Januária",1
252,44,3,0,90,NULL,2015-06-16,2015-07-03,15,51,2,1,"Técnico em Enfermagem",92,"Associação Beneficente São Vicente de Paula - Asilo João XXIII",2
